Wavelength,t19,t36,t52,t69,t83,t103,t129,t155,t179,t221
600,-0.034,-0.0529,-0.0511,-0.0384,-0.0448,-0.0431,-0.0412,-0.039,-0.0414,-0.0388
599.8,-0.0339,-0.0529,-0.051,-0.0385,-0.0449,-0.0431,-0.0412,-0.0389,-0.0413,-0.0389
599.6,-0.0342,-0.0529,-0.0511,-0.0388,-0.0448,-0.0428,-0.0414,-0.0388,-0.0412,-0.039
599.4,-0.0343,-0.0528,-0.0506,-0.0389,-0.0447,-0.0428,-0.0413,-0.0387,-0.0411,-0.0393
599.2,-0.0345,-0.0529,-0.0506,-0.0389,-0.0448,-0.043,-0.0413,-0.0387,-0.0409,-0.0392
599,-0.0345,-0.053,-0.0506,-0.0389,-0.0444,-0.0427,-0.0411,-0.0388,-0.0408,-0.0391
598.8,-0.0342,-0.0532,-0.0506,-0.0386,-0.0446,-0.0428,-0.041,-0.0389,-0.0407,-0.0391
598.6,-0.0342,-0.0532,-0.0508,-0.0385,-0.0449,-0.0427,-0.0409,-0.039,-0.0405,-0.0391
598.4,-0.0341,-0.053,-0.0506,-0.0384,-0.0448,-0.0428,-0.0411,-0.039,-0.0406,-0.0392
598.2,-0.0341,-0.0531,-0.0506,-0.0381,-0.0451,-0.043,-0.0412,-0.039,-0.0405,-0.0391
598,-0.0342,-0.053,-0.0506,-0.0381,-0.045,-0.043,-0.0412,-0.0388,-0.0405,-0.0392
597.8,-0.034,-0.0529,-0.0506,-0.0379,-0.0448,-0.043,-0.0413,-0.0386,-0.0407,-0.0388
597.6,-0.0341,-0.0531,-0.0508,-0.0379,-0.0449,-0.0429,-0.0412,-0.0386,-0.0406,-0.0388
597.4,-0.0343,-0.053,-0.0508,-0.0381,-0.0446,-0.0429,-0.0412,-0.0383,-0.0406,-0.0388
597.2,-0.0342,-0.0527,-0.0503,-0.0381,-0.0445,-0.0429,-0.0414,-0.0384,-0.0406,-0.0388
597,-0.0343,-0.0527,-0.0503,-0.038,-0.0444,-0.0429,-0.0413,-0.0385,-0.0405,-0.0391
596.8,-0.0343,-0.0526,-0.0501,-0.0381,-0.0443,-0.0429,-0.0412,-0.0387,-0.0405,-0.0387
596.6,-0.0343,-0.0526,-0.0502,-0.0382,-0.0446,-0.0427,-0.0413,-0.0387,-0.0405,-0.0386
596.4,-0.0344,-0.0525,-0.0503,-0.0383,-0.0448,-0.0428,-0.0412,-0.0387,-0.0407,-0.0385
596.2,-0.0344,-0.0527,-0.0501,-0.0383,-0.0448,-0.0428,-0.041,-0.0387,-0.0407,-0.0383
596,-0.0343,-0.0529,-0.0504,-0.0383,-0.0444,-0.0423,-0.0413,-0.0384,-0.0404,-0.0385
595.8,-0.0345,-0.0526,-0.05,-0.0382,-0.0444,-0.0426,-0.0412,-0.0383,-0.0404,-0.0387
595.6,-0.0344,-0.0527,-0.0502,-0.0382,-0.0443,-0.0429,-0.0411,-0.0383,-0.0406,-0.0388
595.4,-0.0343,-0.0528,-0.0506,-0.0381,-0.0442,-0.0427,-0.0413,-0.0383,-0.0405,-0.0384
595.2,-0.0346,-0.0529,-0.0506,-0.0382,-0.0447,-0.0429,-0.0413,-0.0385,-0.0406,-0.0383
595,-0.0346,-0.053,-0.0506,-0.0384,-0.0447,-0.0427,-0.0413,-0.0385,-0.0406,-0.0383
594.8,-0.0346,-0.0532,-0.0505,-0.0383,-0.0446,-0.0426,-0.0413,-0.0386,-0.0404,-0.0383
594.6,-0.0349,-0.0532,-0.0506,-0.0383,-0.0448,-0.0428,-0.0414,-0.0387,-0.0407,-0.0385
594.4,-0.0348,-0.0531,-0.0505,-0.0385,-0.0449,-0.0429,-0.0416,-0.0387,-0.0406,-0.0386
594.2,-0.0349,-0.0533,-0.0506,-0.0385,-0.0451,-0.0432,-0.0418,-0.0388,-0.0409,-0.0387
594,-0.0348,-0.0533,-0.0507,-0.0383,-0.0452,-0.043,-0.0419,-0.0388,-0.0408,-0.0387
593.8,-0.0346,-0.0535,-0.0507,-0.0385,-0.0452,-0.043,-0.0415,-0.0388,-0.0406,-0.0384
593.6,-0.0347,-0.0532,-0.0508,-0.0386,-0.0451,-0.0428,-0.0414,-0.0386,-0.0405,-0.0384
593.4,-0.0346,-0.0531,-0.0509,-0.0385,-0.045,-0.0426,-0.0413,-0.0385,-0.0403,-0.0383
593.2,-0.0345,-0.0531,-0.0512,-0.0386,-0.0449,-0.0425,-0.0414,-0.0386,-0.0406,-0.0383
593,-0.0346,-0.053,-0.051,-0.0387,-0.0448,-0.0426,-0.0419,-0.0387,-0.0405,-0.0386
592.8,-0.0345,-0.0529,-0.0506,-0.0387,-0.0449,-0.0428,-0.0419,-0.0388,-0.0403,-0.0389
592.6,-0.0343,-0.0529,-0.0504,-0.0385,-0.0449,-0.043,-0.0415,-0.0387,-0.0405,-0.0387
592.4,-0.0342,-0.0529,-0.0505,-0.0384,-0.0448,-0.0428,-0.0415,-0.0386,-0.0401,-0.0384
592.2,-0.0345,-0.0529,-0.0504,-0.0385,-0.0453,-0.0428,-0.0413,-0.0383,-0.04,-0.0384
592,-0.0344,-0.0526,-0.0502,-0.0381,-0.045,-0.0432,-0.041,-0.038,-0.0405,-0.0383
591.8,-0.0345,-0.0528,-0.0505,-0.038,-0.0447,-0.043,-0.0411,-0.038,-0.0404,-0.0384
591.6,-0.0346,-0.0529,-0.0506,-0.0381,-0.0447,-0.043,-0.041,-0.0379,-0.0404,-0.0382
591.4,-0.0346,-0.0528,-0.0508,-0.0381,-0.0445,-0.0429,-0.0412,-0.0379,-0.0405,-0.0383
591.2,-0.0348,-0.053,-0.0512,-0.0384,-0.0445,-0.0428,-0.0413,-0.0379,-0.0402,-0.0383
591,-0.0349,-0.0527,-0.0512,-0.0384,-0.0445,-0.043,-0.041,-0.0379,-0.0403,-0.0385
590.8,-0.0349,-0.0524,-0.0512,-0.0382,-0.0444,-0.043,-0.0413,-0.0381,-0.0405,-0.0386
590.6,-0.035,-0.0523,-0.0512,-0.0382,-0.0446,-0.043,-0.0412,-0.038,-0.0405,-0.0385
590.4,-0.0348,-0.0524,-0.051,-0.0381,-0.0445,-0.0429,-0.0412,-0.0379,-0.0405,-0.0383
590.2,-0.0347,-0.0525,-0.051,-0.0381,-0.0448,-0.0427,-0.0413,-0.0379,-0.0405,-0.0382
590,-0.035,-0.0527,-0.0508,-0.0382,-0.045,-0.0427,-0.0411,-0.0379,-0.0402,-0.038
589.8,-0.0348,-0.0527,-0.0506,-0.0381,-0.0449,-0.0427,-0.0412,-0.0378,-0.0401,-0.038
589.6,-0.0348,-0.0526,-0.0506,-0.0379,-0.0448,-0.0427,-0.041,-0.0379,-0.0403,-0.038
589.4,-0.0349,-0.0527,-0.0506,-0.0379,-0.0446,-0.0424,-0.041,-0.0378,-0.0401,-0.0378
589.2,-0.0349,-0.0527,-0.0506,-0.0381,-0.0446,-0.0424,-0.041,-0.0375,-0.0399,-0.0377
589,-0.0348,-0.0524,-0.0505,-0.0381,-0.0446,-0.0426,-0.0409,-0.0375,-0.0401,-0.0378
588.8,-0.0346,-0.0523,-0.0508,-0.038,-0.0444,-0.0425,-0.0406,-0.0377,-0.0398,-0.0375
588.6,-0.0346,-0.0523,-0.0508,-0.0381,-0.0446,-0.0424,-0.0408,-0.0377,-0.0397,-0.0373
588.4,-0.0347,-0.0521,-0.0507,-0.0379,-0.0446,-0.0423,-0.0411,-0.0377,-0.0399,-0.0375
